NOM_PRODUIT,CATEGORIE,P_UNITAIRE
Masque capillaire Garnier,Produits de soin capillaire,1800
Paquet de chips Tortilla,Snack,1000
Terrine de campagne,Charcuterie,1900
Déodorant Rexona,Produits d'hygiène,800
Boîte de kleenex,Hygiène,1000
Baume réparateur pour les mains Biafine,Produits de soin pour les mains,1000
Gel coiffant L'Oréal,Produits de coiffure,1500
Shampooing réparateur L'Oréal,Produits de soin capillaire,1500
Boîte de conserve de thon Petit Navire,Poisson,1000
Pâté de porc,Charcuterie,1200
Lotion anti-âge pour le visage L'Oréal,Produits de soin pour le visage,1200
Pâté de campagne,Charcuterie,1200
Saucisson à la mirabelle,Charcuterie,1400
Crème réparatrice Cicabiafine,Produits de soin pour le corps,1500
Crème de jour anti-taches Nivea,Produits de soin pour le visage,1200
Déodorant spray fraîcheur instantanée Nivea,Produits d'hygiène,800
Dentifrice Signal,Produits d'hygiène dentaire,500
Crème solaire visage et corps biodégradable La Roche-Posay,Produits de protection solaire,2000
Rillettes de porc,Charcuterie,1300
Lingettes démaquillantes réutilisables Garnier,Produits de démaquillage,800
Pot de crème dessert Danette,Dessert,1000
Pâté de perdreau,Charcuterie,1800
Pot de confiture de fraises,Condiment,1000
Gel nettoyant visage La Roche-Posay,Produits de soin pour le visage,1800
Saucisson au genièvre,Charcuterie,1400
Pâté de faisan,Charcuterie,1800
Gel douche exfoliant au sel marin Neutrogena,Produits de douche,1200
Pot de crème hydratante Nivea,Hygiène,1500
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Boudin blanc,Charcuterie,1400
Boîte de kleenex,Hygiène,1000
Pâté de pigeon,Charcuterie,1800
Sachet de pâtes de curry rouge,Condiment,750
Lotion anti-âge pour le visage L'Oréal,Produits de soin pour le visage,1200
Baume après-rasage sans alcool Nivea,Produits de rasage,700
Crème hydratante Nivea,Produits de soin pour le corps,1000
Soin anti-âge global pour le visage L'Oréal,Produits de soin pour le visage,2500
Sachet de thé à la menthe,Thé,500
Soin anti-fatigue pour le visage Nivea,Produits de soin pour le visage,2500
Lingettes démaquillantes biodégradables Nivea,Produits de démaquillage,800
Sac de croquettes pour chien Pedigree,Animaux,2000
Crème anti-âge L'Oréal,Produits de soin pour le visage,2500
Saucisson à la mirabelle,Charcuterie,1400
Sac de pommes de terre,Légumes,1000
Démaquillant yeux bi-phasé waterproof L'Oréal,Produits de démaquillage,1200
Lotion hydratante pour le visage Nivea,Produits de soin pour le visage,1200
Shampooing réparateur L'Oréal,Produits de soin capillaire,1500
Pâté de marcassin aux airelles,Charcuterie,1800
Tube de dentifrice Colgate,Hygiène,750
Bouteille de lait frais Lactel,Lait,1000
Boîte de céréales pour petit déjeuner,Alimentation,1500
Crème de jour hydratante Nivea,Produits de soin pour le visage,1200
Saucisson à la noisette,Charcuterie,1700
Dentifrice bio blanchissant Lavera,Produits d'hygiène dentaire,500
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Terrine de biche,Charcuterie,1700
Coppa,Charcuterie,1600
Gel coiffant effet mouillé Schwarzkopf,Produits de coiffure,1500
Déodorant anti-transpirant Vichy,Produits d'hygiène,800
Pâté de faisan,Charcuterie,1800
Boîte de mouchoirs en papier Lotus,Hygiène,1000
Dentifrice bio blanchissant Lavera,Produits d'hygiène dentaire,500
Saucisse de Morteau,Charcuterie,1600
Saucisson aux herbes,Charcuterie,1400
Gel douche Nivea,Produits de douche,1200
Paquet de cacahuètes,Snack,750
Bouteille de shampoing Head & Shoulders,Hygiène,1500
Pot de yaourt Danone,Produits laitiers,750
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Andouille,Charcuterie,1600
Crème anti-âge L'Oréal,Produits de soin pour le visage,2500
Shampooing réparateur L'Oréal,Produits de soin capillaire,1500
Boîte de conserve de thon Petit Navire,Poisson,1000
Déodorant spray fraîcheur instantanée Nivea,Produits d'hygiène,800
Pot de confiture de fraises,Condiment,1000
Jambon de Bayonne,Charcuterie,1900
Sachet de feuilles de thé,Thé,500
Sachet de sel,Condiment,500
Déodorant bille sans parfum Vichy,Produits d'hygiène,800
Gel coiffant effet mat Axe,Produits de coiffure,1500
Jambon de Paris,Charcuterie,1400
Bouteille d'eau minérale Cristaline,Eau,500
Rillettes de thon au piment d'Espelette,Charcuterie,1500
Spray corporel Axe,Produits de soin pour le corps,800
Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200
Crème apaisante après-soleil Nivea,Produits de protection solaire,2000
Pot de crème glacée Carte d'Or,Glaces,2000
Sac de farine de blé,Alimentation,1500
Crème anti-âge L'Oréal,Produits de soin pour le visage,2500
Déodorant stick Narta,Produits d'hygiène,800
Andouille,Charcuterie,1600
Pain de mie Jacques,Alimentation,750
Baume après-rasage Gillette,Produits de rasage,700
Lingettes démaquillantes à l'eau micellaire Garnier,Produits de démaquillage,800
Bouteille d'eau minérale Cristaline,Eau,500
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Pâté de campagne,Charcuterie,1200
Crème anti-cellulite Garnier,Produits de soin pour le corps,2000
Sachet de piment en poudre,Condiment,500
Dentifrice blanchissant Colgate,Produits d'hygiène dentaire,500
Saucisse de canard fumée,Charcuterie,1600
Crème raffermissante pour le corps Garnier,Produits de soin pour le corps,2000
Terrine de pintade,Charcuterie,1600
Saucisse de Francfort,Charcuterie,1000
Gel douche hydratant Dove,Produits de douche,1200
Lingettes démaquillantes biodégradables à l'huile d'amande Neutrogena,Produits de démaquillage,800
Pâté de lapin,Charcuterie,1300
Saucisse de Montbéliard,Charcuterie,1900
Pot de yaourt Danone,Produits laitiers,750
Terrine de faisan,Charcuterie,1700
Pain de savon Lux,Hygiène,500
Shampooing fortifiant L'Oréal,Produits de soin capillaire,1800
Lotion purifiante pour le visage Neutrogena,Produits de soin pour le visage,1200
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Shampooing anti-pelliculaire Vichy,Produits de soin capillaire,1500
Rillettes d'oie,Charcuterie,1500
Lotion tonique Nivea,Produits de soin pour le visage,1200
Gel douche relaxant à la lavande L'Occitane,Produits de douche,1200
Pâté de lapin aux noisettes,Charcuterie,1800
Crème raffermissante pour le corps Garnier,Produits de soin pour le corps,2000
Jambon de Paris,Charcuterie,1400
Gel douche nourrissant Dove,Produits de douche,1200
Lait hydratant pour le corps Johnson's,Produits de soin pour le corps,1000
Mortadelle,Charcuterie,1700
Rillettes de thon à l'huile d'olive,Charcuterie,1500
Saucisson à la noisette,Charcuterie,1700
Boudin noir,Charcuterie,1500
Boîte de conserve de thon Petit Navire,Poisson,1000
Sachet de thé à la menthe,Thé,500
Shampooing volumateur Timotei,Produits de soin capillaire,1500
Pot de mayonnaise Amora,Condiment,1000
Savon exfoliant Neutrogena,Produits de douche,1000
Rillettes de dinde,Charcuterie,1300
Crème pour les pieds à l'urée Scholl,Produits de soin pour les pieds,1500
Lotion anti-imperfections Garnier,Produits de soin pour le visage,1200
Crème apaisante après-soleil Nivea,Produits de protection solaire,2000
Crème de jour anti-taches Nivea,Produits de soin pour le visage,1200
Lingettes démaquillantes biodégradables à l'huile d'amande Neutrogena,Produits de démaquillage,800
Pâté de campagne,Charcuterie,1200
Lotion apaisante après-rasage Nivea,Produits de rasage,700
Rillettes de thon au citron,Charcuterie,1500
Saucisse de volaille,Charcuterie,1600
Boîte de thé matcha,Thé,1500
Dentifrice blancheur Oral-B,Produits d'hygiène dentaire,500
Savon exfoliant Neutrogena,Produits de douche,1000
Déodorant spray fraîcheur instantanée Nivea,Produits d'hygiène,800
Paquet de biscuits Oreo,Biscuits,1000
Saucisson à l'ail,Charcuterie,1300
Rillettes de thon au piment d'Espelette,Charcuterie,1500
Déodorant Rexona,Produits d'hygiène,800
Saucisson à l'Espelette,Charcuterie,1400
Shampooing hydratant Timotei,Produits de soin capillaire,1500
Crème de nuit régénérante L'Oréal,Produits de soin pour le visage,1200
Pot de sauce barbecue,Condiment,1000
Pâté de foie,Charcuterie,1100
Lotion tonique adoucissante Garnier,Produits de soin pour le visage,1200
Sac de farine de blé,Alimentation,1500
Démaquillant bi-phasé Maybelline,Produits de démaquillage,1200
Terrine de marcassin,Charcuterie,1700
Saucisse de Morteau,Charcuterie,1600
Lingettes démaquillantes à l'eau micellaire Garnier,Produits de démaquillage,800
Sachet de sel iodé,Condiment,500
Rillettes de saumon,Charcuterie,1500
Dentifrice blancheur intense Colgate,Produits d'hygiène dentaire,500
Rillettes de truite,Charcuterie,1500
Terrine de campagne,Charcuterie,1900
Baume après-rasage Gillette,Produits de rasage,700
Baume après-rasage Gillette,Produits de rasage,700
Boîte de thé matcha,Thé,1500
Saucisson de Lyon,Charcuterie,1400
Paquet de lentilles,Alimentation,750
Lotion tonique Nivea,Produits de soin pour le visage,1200
Démaquillant pour les yeux Nivea,Produits de démaquillage,1200
Sachet de levure chimique,Condiment,500
Gel coiffant effet mat Axe,Produits de coiffure,1500
Baume à lèvres Labello,Produits de soin des lèvres,700
Lotion pour le corps Dove,Produits de soin pour le corps,1200
Saucisse fumée,Charcuterie,1400
Crème de jour hydratante Nivea,Produits de soin pour le visage,1200
Bouteille de lait frais Lactel,Lait,1000
Baume à cuticules Sally Hansen,Produits de soin pour les ongles,1000
Sachet de thé vert,Thé,500
Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200
Pain de savon Lux,Hygiène,500
Boîte de mouchoirs en papier Tempo,Hygiène,750
Crème solaire enfants Uriage,Produits de protection solaire,2000
Crème hydratante Nivea,Produits de soin pour le corps,1000
Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200
Pâté de marcassin aux airelles,Charcuterie,1800
Terrine de sanglier,Charcuterie,1700
Pâté de marcassin aux airelles,Charcuterie,1800
Crème solaire peaux sensibles Avène,Produits de protection solaire,2000
Gel nettoyant visage doux Nivea,Produits de soin pour le visage,1800
Paquet de chips Tortilla,Snack,1000
Pain de savon Lux,Hygiène,500
Gel coiffant effet mouillé Schwarzkopf,Produits de coiffure,1500
Gel nettoyant visage purifiant Neutrogena,Produits de soin pour le visage,1800
Sachet de levure chimique,Condiment,500
Jambon fumé,Charcuterie,1400
Démaquillant waterproof Maybelline,Produits de démaquillage,1200
Rillettes de poisson,Charcuterie,1300
Déodorant stick Narta,Produits d'hygiène,800
Pâté de foie,Charcuterie,1100
Pâté de sanglier,Charcuterie,1800
Déodorant spray sans gaz propulseur Nivea,Produits d'hygiène,800
Gel nettoyant visage purifiant L'Oréal,Produits de soin pour le visage,1800
Soin liftant anti-âge L'Oréal,Produits de soin pour le visage,2500
Jambon de la Vallée d'Aoste,Charcuterie,2000
Saucisse de porc,Charcuterie,1600
Rillettes de thon à l'huile d'olive,Charcuterie,1500
Jambon de la Forêt Noire,Charcuterie,2000
Démaquillant Garnier,Produits de démaquillage,1200
Bouteille d'huile Aya,Huile,3750
Crème de nuit régénérante L'Oréal,Produits de soin pour le visage,1200
Bouteille d'eau minérale Cristaline,Eau,500
Démaquillant pour les yeux bi-phasé Nivea,Produits de démaquillage,1200
Andouille,Charcuterie,1600
Gel coiffant effet brillant Schwarzkopf,Produits de coiffure,1500
Jambon de la Forêt de Marly,Charcuterie,2000
Saucisse de canard fumée,Charcuterie,1600
Chorizo,Charcuterie,2000
Saucisse de veau,Charcuterie,1600
Soin contour des lèvres L'Oréal,Produits de soin des lèvres,700
Terrine de canard,Charcuterie,1700
Pot de sauce barbecue,Condiment,1000
Sachet de paprika,Condiment,500
Lotion tonique adoucissante Garnier,Produits de soin pour le visage,1200
Boîte de mouchoirs en papier Lotus,Hygiène,1000
Gel douche nourrissant à l'huile d'amande Neutrogena,Produits de douche,1200
Pâté de volaille,Charcuterie,1200
Déodorant anti-transpirant Vichy,Produits d'hygiène,800
Lotion anti-imperfections Garnier,Produits de soin pour le visage,1200
Baume réparateur pour les mains Biafine,Produits de soin pour les mains,1000
Saucisse de Montbéliard,Charcuterie,1900
Lotion purifiante pour le visage Neutrogena,Produits de soin pour le visage,1200
Rillettes de canard,Charcuterie,1400
Sachet de popcorn,Snack,500
Sachet de pâtes de curry rouge,Condiment,750
Saucisse de Strasbourg,Charcuterie,1600
Dentifrice reminéralisant Elmex,Produits d'hygiène dentaire,500
Boîte de maïs en conserve,Condiment,750
Crème solaire visage et corps biodégradable La Roche-Posay,Produits de protection solaire,2000
Bouteille d'huile Aya,Huile,3750
Rillettes de volaille,Charcuterie,1500
Jambon de Bayonne,Charcuterie,1900
Saucisse de canard,Charcuterie,1600
Terrine de lapin aux pruneaux,Charcuterie,1700
Saucisse de canard fumée,Charcuterie,1600
Jambon de l'Ardèche,Charcuterie,2000
Baume hydratant pour les mains Mixa,Produits de soin pour les mains,1000
Lingettes démaquillantes biodégradables Nivea,Produits de démaquillage,800
Paquet de biscuits au chocolat,Biscuits,1000
Baume après-rasage hydratant Nivea,Produits de rasage,700
Bouteille de sirop de grenadine,Boisson,750
Boîte de céréales Kellogg's,Céréales,1500
Déodorant Rexona,Produits d'hygiène,800
Bouteille de bière Guinness,Bière,1000
Gel douche hydratant Dove,Produits de douche,1200
Terrine de perdreau,Charcuterie,1700
Terrine de lapin aux pruneaux,Charcuterie,1700
Terrine de gibier,Charcuterie,1500
Lingettes démaquillantes apaisantes Nivea,Produits de démaquillage,800
Sachet de graines de chia,Condiment,1000
Sachet de levure chimique,Condiment,500
Crème solaire visage La Roche-Posay,Produits de protection solaire,2000
Paquet de chips Lay's,Snack,750
Saucisse de volaille,Charcuterie,1600
Pot de confiture Bonne Maman,Condiment,1500
Crème de nuit nourrissante Nivea,Produits de soin pour le visage,1200
Saucisse de Montbéliard,Charcuterie,1900
Pot de crème dessert Danette,Dessert,1000
Jambon de Montagne Noire,Charcuterie,2000
Pain de mie Jacques,Alimentation,750
Pot de moutarde,Condiment,500
Crème réparatrice Cicabiafine,Produits de soin pour le corps,1500
Rillettes de thon à la coriandre,Charcuterie,1500
Boîte de céréales pour petit déjeuner,Alimentation,1500
Saucisson au genièvre,Charcuterie,1400
Démaquillant pour les yeux bi-phasé Nivea,Produits de démaquillage,1200
Démaquillant waterproof Maybelline,Produits de démaquillage,1200
Boîte de céréales Kellogg's,Céréales,1500
Paquet de spaghetti,Alimentation,750
Sachet de riz Mama Africa,Alimentation,2000
Saucisson à la pistache,Charcuterie,1400
Lotion tonique Nivea,Produits de soin pour le visage,1200
Crème raffermissante pour le corps Garnier,Produits de soin pour le corps,2000
Crème solaire enfant biodégradable Uriage,Produits de protection solaire,2000
Saucisse au poivre,Charcuterie,1600
Paquet de pâtes Barilla,Alimentation,1000
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Dentifrice blancheur Oral-B,Produits d'hygiène dentaire,500
Jambon de Luxeuil,Charcuterie,2000
Lotion purifiante pour le visage Neutrogena,Produits de soin pour le visage,1200
Crème pour les pieds Scholl,Produits de soin pour les pieds,1500
Terrine de gibier,Charcuterie,1500
Saucisson à la pistache,Charcuterie,1800
Shampooing anti-pelliculaire Vichy,Produits de soin capillaire,1500
Sachet de poivre noir,Condiment,500
Pot de miel,Condiment,1000
Shampooing volumisant Schwarzkopf,Produits de soin capillaire,1800
Jambon fumé,Charcuterie,1400
Démaquillant yeux bi-phasé waterproof L'Oréal,Produits de démaquillage,1200
Saucisson à la truffe,Charcuterie,1400
Dentifrice bio blanchissant Lavera,Produits d'hygiène dentaire,500
Soin hydratant matifiant Vichy,Produits de soin pour le visage,2500
Coppa,Charcuterie,1600
Saucisson au genièvre,Charcuterie,1400
Saucisson à la truffe,Charcuterie,1400
Soin liftant anti-âge L'Oréal,Produits de soin pour le visage,2500
Soin contour des yeux L'Oréal,Produits de soin pour le visage,2500
Pâté de lapin aux noix,Charcuterie,1800
Crème apaisante après-soleil Nivea,Produits de protection solaire,2000
Bouteille de sauce soja,Condiment,1000
Crème solaire Nivea,Produits de protection solaire,2000
Soin anti-rides contour des yeux L'Oréal,Produits de soin pour le visage,2500
Terrine de canard,Charcuterie,1700
Gel douche exfoliant Nivea,Produits de douche,1200
Sachet de feuilles de thé,Thé,500
Paquet de chips Tortilla,Snack,1000
Saucisse de porc,Charcuterie,1600
Paquet de chips Pringles,Snack,1000
Paquet de riz long grain,Alimentation,1000
Sachet de grains de café arabica,Café,1000
Paquet de muesli,Alimentation,1000
Jambon de l'Ardèche,Charcuterie,2000
Bouteille de jus de pomme,Jus,1500
Rillettes de lapin,Charcuterie,1300
Rillettes de thon à l'huile d'olive,Charcuterie,1500
Saucisson aux noisettes,Charcuterie,1400
Saucisson sec,Charcuterie,1500
Saucisse de Morteau,Charcuterie,1600
Paquet de spaghetti,Alimentation,750
Terrine de sanglier,Charcuterie,1700
Soin anti-rides contour des yeux L'Oréal,Produits de soin pour le visage,2500
Terrine de pintade,Charcuterie,1600
Jambon de Paris,Charcuterie,1400
Tube de dentifrice Colgate,Hygiène,750
Spray corporel Axe,Produits de soin pour le corps,800
Sachet de grains de café arabica,Café,1000
Rillettes de volaille,Charcuterie,1500
Rillettes de porc,Charcuterie,1300
Jambon de la Forêt Noire,Charcuterie,2000
Soin liftant anti-âge L'Oréal,Produits de soin pour le visage,2500
Terrine de perdreau,Charcuterie,1700
Sachet de levure chimique,Condiment,500
Sac de farine de blé,Alimentation,1500
Terrine de faisan aux morilles,Charcuterie,1700
Crème solaire Nivea,Produits de protection solaire,2000
Pâté de cerf,Charcuterie,1800
Déodorant spray fraîcheur instantanée Nivea,Produits d'hygiène,800
Shampooing anti-pelliculaire Head & Shoulders,Produits de soin capillaire,1500
Jambon de Bayonne,Charcuterie,1900
Crème de jour hydratante Nivea,Produits de soin pour le visage,1200
Lotion purifiante pour le visage L'Oréal,Produits de soin pour le visage,1200
Sachet de thé vert,Thé,500
Saucisse de Lyon,Charcuterie,1600
Jambon blanc,Charcuterie,1000
Baume à lèvres Labello,Produits de soin des lèvres,700
Boîte de mouchoirs en papier Tempo,Hygiène,750
Jambon de Savoie,Charcuterie,2000
Jambon de Normandie,Charcuterie,2000
Boîte de céréales pour petit déjeuner,Alimentation,1500
Crème de nuit nourrissante Nivea,Produits de soin pour le visage,1200
Crème solaire visage La Roche-Posay,Produits de protection solaire,2000
Rillettes de thon au basilic,Charcuterie,1500
Jambon d'Auvergne,Charcuterie,2000
Lingettes démaquillantes à l'eau micellaire Garnier,Produits de démaquillage,800
Crème réparatrice pour les pieds Scholl,Produits de soin pour les pieds,1500
Terrine de lapin aux pruneaux,Charcuterie,1700
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Pot de confiture Bonne Maman,Condiment,1500
Pot de sauce barbecue,Condiment,1000
Saucisse de volaille,Charcuterie,1600
Bouteille de bière Guinness,Bière,1000
Sachet de riz Mama Africa,Alimentation,2000
Sachet de sucre Daddy,Sucrerie,500
Terrine de lapin,Charcuterie,1600
Rillettes de dinde,Charcuterie,1300
Shampooing volumateur Timotei,Produits de soin capillaire,1500
Sachet de thé vert,Thé,500
Boîte de haricots verts en conserve,Condiment,750
Saucisson à la pistache,Charcuterie,1400
Pain de mie Jacques,Alimentation,750
Crème hydratante Nivea,Produits de soin pour le corps,1000
Soin anti-âge global pour le visage L'Oréal,Produits de soin pour le visage,2500
Pâté en croûte,Charcuterie,1800
Pot de crème glacée Carte d'Or,Glaces,2000
Démaquillant pour les yeux bi-phasé Nivea,Produits de démaquillage,1200
Dentifrice protection gencives Parodontax,Produits d'hygiène dentaire,500
Pâté de volaille,Charcuterie,1200
Sachet de thé Lipton,Thé,500
Rillettes de veau,Charcuterie,1500
Crème réparatrice pour les pieds Scholl,Produits de soin pour les pieds,1500
Dentifrice blancheur intense Colgate,Produits d'hygiène dentaire,500
Rillettes de poisson,Charcuterie,1300
Terrine de lapin,Charcuterie,1600
Dentifrice blanchissant Colgate,Produits d'hygiène dentaire,500
Crème solaire Nivea,Produits de protection solaire,2000
Terrine de faisan,Charcuterie,1700
Crème réparatrice pour les pieds Scholl,Produits de soin pour les pieds,1500
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Chorizo,Charcuterie,2000
Pâté de chevreuil,Charcuterie,1800
Saucisse de Montbéliard,Charcuterie,1900
Gel nettoyant visage purifiant L'Oréal,Produits de soin pour le visage,1800
Saucisson aux herbes,Charcuterie,1400
Sachet de sel iodé,Condiment,500
Pâté de lapin aux herbes de Provence,Charcuterie,1800
Savon exfoliant Neutrogena,Produits de douche,1000
Paquet de chips Tortilla,Snack,1000
Saucisse fumée,Charcuterie,1400
Pot de moutarde,Condiment,500
Bouteille de sauce soja,Condiment,1000
Pâté de volaille,Charcuterie,1200
Crème solaire visage et corps biodégradable La Roche-Posay,Produits de protection solaire,2000
Bouteille de sirop de grenadine,Boisson,750
Pâté de chevreuil,Charcuterie,1800
Paquet de café Nescafé,Café,1500
Pâté de marcassin,Charcuterie,1900
Saucisse de veau,Charcuterie,1600
Terrine de pintade,Charcuterie,1600
Sachet de sel iodé,Condiment,500
Saucisson à la figue,Charcuterie,1600
Saucisson à l'Armagnac,Charcuterie,1400
Paquet de couches Pampers,Hygiène,2500
Paquet de riz long grain,Alimentation,1000
Saucisson à l'Armagnac,Charcuterie,1400
Pâté de lapin aux pistaches,Charcuterie,1800
Baume après-rasage Gillette,Produits de rasage,700
Terrine de biche,Charcuterie,1700
Saucisson aux noisettes,Charcuterie,1400
Boîte de kleenex,Hygiène,1000
Jambon de Bayonne,Charcuterie,1900
Sac de riz Basmati,Alimentation,4000
Jambon fumé,Charcuterie,1400
Crème anti-cellulite Garnier,Produits de soin pour le corps,2000
Shampooing réparateur L'Oréal,Produits de soin capillaire,1500
Crème de jour anti-rides Nivea,Produits de soin pour le visage,1200
Pâté de lapin aux noix,Charcuterie,1800
Pot de miel,Condiment,1000
Pot de moutarde,Condiment,500
Saucisson à l'ail,Charcuterie,1300
Pâté de canard,Charcuterie,1500
Crème réparatrice pour les mains Neutrogena,Produits de soin pour les mains,1000
Baume nourrissant pour les mains Nuxe,Produits de soin pour les mains,1000
Crème de jour anti-taches Nivea,Produits de soin pour le visage,1200
Bouteille de sauce soja,Condiment,1000
Sachet de paprika,Condiment,500
Gel nettoyant visage La Roche-Posay,Produits de soin pour le visage,1800
Boudin blanc,Charcuterie,1400
Crème solaire enfants Uriage,Produits de protection solaire,2000
Saucisson à la pistache,Charcuterie,1800
Rillettes de thon au basilic,Charcuterie,1500
Soin contour des yeux L'Oréal,Produits de soin pour le visage,2500
Dentifrice protection caries Sensodyne,Produits d'hygiène dentaire,500
Boudin noir,Charcuterie,1500
Démaquillant waterproof Maybelline,Produits de démaquillage,1200
Spray corporel rafraîchissant Axe,Produits de soin pour le corps,800
Rillettes de canard au poivre vert,Charcuterie,1500
Pâté de canard,Charcuterie,1500
Pâté de marcassin,Charcuterie,1900
Saucisson au genièvre,Charcuterie,1400
Sachet de thé vert,Thé,500
Paquet de cacahuètes,Snack,750
Saucisson de Lyon,Charcuterie,1400
Boîte de conserve de thon Petit Navire,Poisson,1000
Barre de chocolat Milka,Chocolat,750
Gel coiffant effet brillant Schwarzkopf,Produits de coiffure,1500
Gel coiffant effet brillant Schwarzkopf,Produits de coiffure,1500
Paquet de chips Lay's,Snack,750
Saucisse de Francfort,Charcuterie,1000
Pâté de lièvre,Charcuterie,1800
Bouteille de bière Guinness,Bière,1000
Shampooing volumisant Schwarzkopf,Produits de soin capillaire,1800
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Sac de farine de blé,Alimentation,1500
Sachet de thé vert,Thé,500
Saucisse de Lyon,Charcuterie,1600
Paquet de biscuits Petit Beurre,Biscuits,1000
Spray corporel Axe,Produits de soin pour le corps,800
Paquet de café Nescafé,Café,1500
Sachet de thé Lipton,Thé,500
Baume réparateur pour les mains Biafine,Produits de soin pour les mains,1000
Crème réparatrice Cicabiafine,Produits de soin pour le corps,1500
Sachet de lessive Skip,Hygiène,750
Sachet de graines de chia,Condiment,1000
Saucisse fumée,Charcuterie,1400
Boîte de haricots verts en conserve,Condiment,750
Pâté de porc,Charcuterie,1200
Paquet de lentilles,Alimentation,750
Pot de yaourt Danone,Produits laitiers,750
Démaquillant waterproof Maybelline,Produits de démaquillage,1200
Saucisson à la mirabelle,Charcuterie,1400
Jambon de Bayonne,Charcuterie,1900
Paquet de spaghetti,Alimentation,750
Soin anti-âge global pour le visage L'Oréal,Produits de soin pour le visage,2500
Sac de pommes de terre,Légumes,1000
Bouteille de sauce soja,Condiment,1000
Pâté de marcassin,Charcuterie,1900
Baume réparateur pour les mains Biafine,Produits de soin pour les mains,1000
Déodorant bille fraîcheur Nivea,Produits d'hygiène,800
Mortadelle,Charcuterie,1700
Terrine de chevreuil,Charcuterie,1700
Démaquillant bi-phasé Maybelline,Produits de démaquillage,1200
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Crème de jour anti-taches Nivea,Produits de soin pour le visage,1200
Crème de nuit régénérante L'Oréal,Produits de soin pour le visage,1200
Gel coiffant L'Oréal,Produits de coiffure,1500
Rosette,Charcuterie,1800
Jambon fumé,Charcuterie,1400
Paquet de pâtes Barilla,Alimentation,1000
Shampooing doux sans sulfates Timotei,Produits de soin capillaire,1500
Soin contour des yeux L'Oréal,Produits de soin pour le visage,2500
Lotion apaisante après-rasage Nivea,Produits de rasage,700
Sachet de paprika,Condiment,500
Sachet de lessive Skip,Hygiène,750
Saucisse de canard,Charcuterie,1600
Paquet de popcorn sucré,Snack,750
Jambon de Savoie,Charcuterie,2000
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Saucisson à l'ail,Charcuterie,1300
Saucisson au roquefort,Charcuterie,1400
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Saucisse de volaille,Charcuterie,1600
Pâté de faisan,Charcuterie,1800
Crème pour les pieds à l'urée Scholl,Produits de soin pour les pieds,1500
Crème de jour hydratante et protectrice Nivea,Produits de soin pour le visage,1200
Sachet de riz Mama Africa,Alimentation,2000
Rillettes de poisson,Charcuterie,1300
Saucisse de canard,Charcuterie,1600
Pâté de lapin aux herbes de Provence,Charcuterie,1800
Saucisse de Strasbourg,Charcuterie,1600
Pâté de lièvre,Charcuterie,1800
Gel douche relaxant à la lavande L'Occitane,Produits de douche,1200
Jambon de Savoie,Charcuterie,2000
Pot de crème dessert Danette,Dessert,1000
Baume après-rasage hydratant Nivea,Produits de rasage,700
Gel douche nourrissant Dove,Produits de douche,1200
Bouteille de vin rouge Merlot,Vin,2500
Baume à cuticules Sally Hansen,Produits de soin pour les ongles,1000
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Pâté de lapin aux noix,Charcuterie,1800
Bouteille de Jack Daniel,Liqueur,5000
Sac de farine de blé,Alimentation,1500
Bouteille de shampoing Head & Shoulders,Hygiène,1500
Rillettes de canard,Charcuterie,1400
Paquet de chips Tortilla,Snack,1000
Crème pour les pieds Scholl,Produits de soin pour les pieds,1500
Rillettes de poisson,Charcuterie,1300
Dentifrice protection caries Sensodyne,Produits d'hygiène dentaire,500
Boîte de kleenex,Hygiène,1000
Saucisse de Morteau,Charcuterie,1600
Bouteille de jus de pomme,Jus,1500
Terrine de faisan aux raisins,Charcuterie,1700
Pâté de lapin,Charcuterie,1300
Déodorant spray sans gaz propulseur Nivea,Produits d'hygiène,800
Sachet de sel iodé,Condiment,500
Saucisse de veau,Charcuterie,1600
Pot de crème glacée Carte d'Or,Glaces,2000
Baume après-rasage hydratant Nivea,Produits de rasage,700
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Barre de chocolat Milka,Chocolat,750
Saucisse de canard,Charcuterie,1600
Pâté de lièvre,Charcuterie,1800
Spray corporel rafraîchissant Axe,Produits de soin pour le corps,800
Rillettes de thon,Charcuterie,1500
Crème pour les mains Neutrogena,Produits de soin pour les mains,1000
Rillettes de thon au basilic,Charcuterie,1500
Crème solaire enfant biodégradable Uriage,Produits de protection solaire,2000
